"Country","Country Code","Indicator","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","600","800","800","800","700","800","800","800","800","800","900","900","1200","1500","1590","1601","1613","1821","1620","1219","1171","1157","950","1063","1465","2407","2400","1985","1488","990","875","1481","1692","1046","1095","1576","1434","1639","1675","1626","1723","1797","2343","2541","2473","2948","3044","3042","3389","2416","2219","3055","5951","4605","3114","3165","3165","3165","3165","","",
"Australia","AUS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","57454","57215","62656","67819","68242","77944","89514","93044","103495","91758","97996","107029","117250","120461","134082","105372","105572","137195","131282","137912","136873","153148","171926","169112","177014","162845","183734","212829","221970","200208","237505","247658","256427","259830","228164","238138","230717","229463","238273.4375","244467","219713","217108","217973","240089.234375","255833.046875","273833.28125","229131","211880.3125","212315.703125","200064.5","218659.546875","217720.078125","216678.046875","201837.5","198323.203125","203270.71875","220959.375","229645.4375","225436.6875","","",
"Austria","AUT","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","3550","3540","3830","4000","4220","4370","4150","3410","3260","2700","2330","1940","1520","900","850","840","970","870","800","700","1100","1200","1400","1100","700","700","640","600","600","550","533","500","479","420","388","404","450","465","451","432","439","362","350","372","400","370","360","350","350","350","350","350","300","350","350","350","350","350","350","","",
"Azerbaijan","AZE","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55340","52785","40449","37487","30339","21733","18901","10545","6702","5161","4760","20866","18797","10893","11188","6435","9258","9001","4061","2949","1524","1206","1131","1061","911","796","906","594","722","950","1601","","",
"Burundi","BDI","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","9200","5300","7200","10600","9700","20200","16600","12300","15000","15600","13300","16900","7500","8500","10982","14547","20333","18900","15682","11250","14767","11880","12131","11366","11361","11369","11840","12009","11677","10762","17395","20994","24073","17000","22000","21101","3041","20296","13426","9199","17315","8964","11000","14697","13855","13400","12978","11309","18265","12615","17305","10654","12309","13232","16054","20120","21805","18999","20310","","",
"Belgium","BEL","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","63700","61600","59900","62000","59500","59700","62800","63800","68200","58700","53000","60200","59000","53300","46820","49027","44496","45360","50577","47125","45615","49279","47841","48580","47871","45115","39466","40231","41541","39633","41460","39891","37120","36089","34254","35599","30823","30500","30835","29876","29800","30209","29028","26831","26754","24586","23048","24541","22609","21737","22418","22477","24674","25679","26793","24721","26970","24649","23005","","",
"Benin","BEN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","26000","28000","30000","25000","26000","20000","18800","35600","35900","36600","43110","43404","43202","40673","39402","37533","37104","36528","35879","35700","37832","37768","37521","34628","35275","36360","38738","41889","37266","41860","38234","35083","32488","39221","39923","44379","42175","43785","42139","40437","32324","38415","40663","41648","39988","31497","41507","36386","37495","38928","39791","38848","40364","42416","47583","36477","49806","48203","54959","","",
"Burkina Faso","BFA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","2000","2500","2500","3000","3500","3500","4000","4500","4500","4500","5000","5000","4000","5000","5000","5000","6000","6000","7000","7000","6500","7500","7000","7100","7300","7400","7600","7800","7900","8000","7000","7000","7500","7000","8000","8000","8000","8000","8335","7600","8500","8500","8500","9000","9000","9000","9500","10200","11093","11800","14520","16060","20300","20500","20700","20750","21770","25208","27299","","",
"Bangladesh","BGD","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","351333","400071","448776","447448","496086","543000","543253","541781","592000","588723","625384","672020","749592","749675","751112","566730","564542","566539","564135","559768","555940","554476","587868","619587","633171","642270","648468","639185","654668","656439","653552","689727","709332","764824","770790","792389","814787","829426","839141","959215","1004264","1068417","1103855","1141241","1187274","1333866","1436496","1494199","1557754","1821579","1726586","1600918","1535715","1550446","1591620","1624237","1675370","1801084","1871225","","",
"Bulgaria","BGR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","7800","7200","8600","6700","9600","16083","22975","38081","55584","78673","88601","95404","106417","97110","112759","151933","160894","129863","91261","76065","113687","93953","100982","108207","100996","89663","97314","99005","105877","91351","49254","50056","24016","13658","6585","8012","8854","11237","18946","10556","8663","8674","15008","12035","8252","5434","7544","8903","8864","8978","10769","9623","9581","9670","8688","8829","8614","8559","8599","","",
